time_period,time_identifier,version,geographic_level,country_code,country_name,characteristic_gender,table,school_type,characteristic_admission_type,characteristic_religious_denomination,subject,qualification_type,subject_entry,total_achieving_9_1,total_achieving_9_4,total_achieving_9_5,total_achieving_a_b,total_achieving_a_e,total_achieving_level_1_pass,total_achieving_level_2_pass,percentage_achieving_9_1,percentage_achieving_9_4,percentage_achieving_9_5,percentage_achieving_a_b,percentage_achieving_a_e,percentage_achieving_level_1_pass,percentage_achieving_level_2_pass
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,"English, mathematics & science",GCSE,282137,278277,200099,144017,z,z,z,z,99,71,51,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,"English, mathematics & science",GCSE,570155,560918,389157,272936,z,z,z,z,98,68,48,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Film Studies,GCSE,2918,2855,2028,1439,z,z,z,z,98,69,49,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Film Studies,GCSE,2056,2013,1718,1403,z,z,z,z,98,84,68,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Film Studies,GCSE,4974,4868,3746,2842,z,z,z,z,98,75,57,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Food Preparation & Nutrition,GCSE,20293,19934,13695,9287,z,z,z,z,98,67,46,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,Food Preparation & Nutrition,GCSE,29279,28973,24591,20239,z,z,z,z,99,84,69,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,Food Preparation & Nutrition,GCSE,49572,48907,38286,29526,z,z,z,z,99,77,60,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,French,GCSE,52999,52659,41450,31473,z,z,z,z,99,78,59,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Girls,S1,All schools,Total,Total,French,GCSE,72047,71748,62190,51184,z,z,z,z,100,86,71,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Total,S1,All schools,Total,Total,French,GCSE,125046,124407,103640,82657,z,z,z,z,99,83,66,z,z,z,z
202021,Academic year,Revised,National,E92000001,England,Boys,S1,All schools,Total,Total,Geography,GCSE,143737,141925,107336,86316,z,z,z,z,99,75,60,z,z,z,z
